"";"ref.date";"PIB";"PIB_SA"
"1";1996-01-01;96,84;99,4
"2";1996-04-01;100,12;100,66
"3";1996-07-01;107,56;104,15
"4";1996-10-01;104,31;103,38
"5";1997-01-01;100,13;104,42
"6";1997-04-01;104,88;105
"7";1997-07-01;109,49;106,13
"8";1997-10-01;108,21;107,22
"9";1998-01-01;101,14;105,1
"10";1998-04-01;106,46;106,81
"11";1998-07-01;109,88;106,72
"12";1998-10-01;106,66;105,65
"13";1999-01-01;101,92;105,82
"14";1999-04-01;106,04;106,26
"15";1999-07-01;109,2;106,37
"16";1999-10-01;108,97;107,83
"17";2000-01-01;106,4;109
"18";2000-04-01;110,25;110,45
"19";2000-07-01;114,19;111,97
"20";2000-10-01;113,98;113,24
"21";2001-01-01;110,1;113,5
"22";2001-04-01;112,82;113,09
"23";2001-07-01;114,71;112,6
"24";2001-10-01;113,38;112,06
"25";2002-01-01;110,63;114,91
"26";2002-04-01;115,41;115,31
"27";2002-07-01;119,5;116,76
"28";2002-10-01;119,24;117,9
"29";2003-01-01;113,58;117,52
"30";2003-04-01;116,31;116,54
"31";2003-07-01;120,25;117,52
"32";2003-10-01;119,94;118,74
"33";2004-01-01;117,98;120,5
"34";2004-04-01;123,65;123,75
"35";2004-07-01;128,14;125,29
"36";2004-10-01;127,39;126,31
"37";2005-01-01;122,92;127,38
"38";2005-04-01;129,18;128,76
"39";2005-07-01;130,85;128
"40";2005-10-01;130,13;129,78
"41";2006-01-01;128,18;131,6
"42";2006-04-01;132,13;132,17
"43";2006-07-01;136,72;134,38
"44";2006-10-01;136,37;136,05
"45";2007-01-01;134,84;138,39
"46";2007-04-01;140,77;140,83
"47";2007-07-01;144,75;142,29
"48";2007-10-01;145,43;144,36
"49";2008-01-01;143,14;146,29
"50";2008-04-01;149,69;149,27
"51";2008-07-01;154,86;151,52
"52";2008-10-01;146,92;145,86
"53";2009-01-01;139,67;143,92
"54";2009-04-01;146,39;146,46
"55";2009-07-01;153,06;149,91
"56";2009-10-01;154,75;153,67
"57";2010-01-01;152,53;156,97
"58";2010-04-01;158,86;158,94
"59";2010-07-01;163,63;160,35
"60";2010-10-01;163,55;162,55
"61";2011-01-01;160,45;164,92
"62";2011-04-01;166,33;166,39
"63";2011-07-01;169,41;166,11
"64";2011-10-01;167,75;167,68
"65";2012-01-01;163,19;165,33
"66";2012-04-01;167,97;168,17
"67";2012-07-01;173,63;171,1
"68";2012-10-01;171,91;171,21
"69";2013-01-01;167,63;172,04
"70";2013-04-01;174,73;174,51
"71";2013-07-01;178,42;175,25
"72";2013-10-01;176,26;175,58
"73";2014-01-01;173,45;176,87
"74";2014-04-01;173,97;174,56
"75";2014-07-01;177,28;174,39
"76";2014-10-01;175,86;175,15
"77";2015-01-01;170,64;173,72
"78";2015-04-01;169,2;169,79
"79";2015-07-01;169,72;167,13
"80";2015-10-01;166,15;165,51
"81";2016-01-01;161,87;163,25
"82";2016-04-01;163,75;163,74
"83";2016-07-01;165,55;162,91
"84";2016-10-01;162,39;162,76
"85";2017-01-01;162,33;164,33
"86";2017-04-01;165,04;165,63
"87";2017-07-01;168,27;166,17
"88";2017-10-01;166,58;167,15
"89";2018-01-01;165,42;167,93
"90";2018-04-01;167,71;167,89
"91";2018-07-01;171,73;169,41
"92";2018-10-01;169,17;169,06
"93";2019-01-01;166,91;169,54
"94";2019-04-01;169,68;170,56
"95";2019-07-01;173,64;170,5
"96";2019-10-01;172,03;171,88
"97";2020-01-01;167,6;168,1
"98";2020-04-01;152,48;153,27
"99";2020-07-01;168,37;165,34
"100";2020-10-01;171,46;171,43
"101";2021-01-01;170,53;173,13
"102";2021-04-01;171,38;172,09
"103";2021-07-01;175,46;172,28
"104";2021-10-01;173,96;174,23
"105";2022-01-01;173,05;175,73
"106";2022-04-01;177,45;177,86
"107";2022-07-01;183,04;179,57
"108";2022-10-01;178,65;180,22
"109";2023-01-01;180,35;182,35
"110";2023-04-01;183,61;183,65
"111";2023-07-01;186,63;183,89
"112";2023-10-01;182,31;184,23
"113";2024-01-01;184,78;186,15
"114";2024-04-01;189,73;188,84
