Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100);;;;;;;;;
Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice);;;;;;;;;
Brasil;;;;;;;;;
Trimestre;Setores e subsetores;;;;;;;;
;Agropecuária - total;Indústria - total;Serviços - total;PIB a preços de mercado;Despesa de consumo das famílias;Despesa de consumo da administração pública;Formação bruta de capital fixo;Exportação de bens e serviços;Importação de bens e serviços (-)
1º trimestre 2012;183.52;140.97;166.76;163.19;167.93;142.16;178.13;244.15;254.74
2º trimestre 2012;199.76;143.75;171.66;167.97;170.97;147.48;182.44;266.65;272.29
3º trimestre 2012;200.56;153.21;175.68;173.63;175.85;146.61;189.86;278.3;267.48
4º trimestre 2012;132.8;147.6;178.62;171.91;182.94;151.52;188.37;283.78;288.47
1º trimestre 2013;223;138.96;171.4;167.63;174.38;141.99;183.39;232.04;272.11
2º trimestre 2013;220.04;150.15;176.97;174.73;178.01;149.21;197.93;282.31;290.32
3º trimestre 2013;195.19;157.6;180.49;178.42;181.96;150.24;203.81;285.22;297.5
4º trimestre 2013;138.33;151.52;182.92;176.26;187.56;155.21;196.73;292.94;295.27
1º trimestre 2014;238.38;144.36;176.22;173.45;180.61;144.88;191.03;237.63;271.94
2º trimestre 2014;220.45;144.84;178.14;173.97;180.74;151.05;185.27;279.59;278.09
3º trimestre 2014;197.24;152;181.2;177.28;183.97;151.8;188.63;296.86;299.42
4º trimestre 2014;142.16;148;183.25;175.86;192.84;153.76;183.9;261.28;279.51
1º trimestre 2015;255.39;138.38;174.09;170.64;179.47;144.33;173;247.45;257.48
2º trimestre 2015;230.36;137.94;174.2;169.2;176.8;148.59;162.56;304.21;247.22
3º trimestre 2015;196.81;143.26;175.04;169.72;176.77;149.1;160.49;303.2;240.04
4º trimestre 2015;142.13;135.68;175.83;166.15;181.37;150.84;148.34;293.84;224.02
1º trimestre 2016;235.89;128.1;168.49;161.87;169.39;144.13;140.58;277.48;201.63
2º trimestre 2016;218.13;132.56;170.45;163.75;168.88;149.39;145.16;312.19;220.89
3º trimestre 2016;188.11;138.34;172.2;165.55;171.7;149.04;143.49;300.14;223.36
4º trimestre 2016;139.47;130.91;172.48;162.39;177.02;151.55;137;268.8;222.68
1º trimestre 2017;283.97;125.62;166.43;162.33;168.47;141.85;133.14;281.74;224.55
2º trimestre 2017;253.24;129.54;170.94;165.04;171.49;148;134.06;318.64;218.17
3º trimestre 2017;207.74;137.84;174.76;168.27;177.05;147.89;142.13;322.41;240.08
4º trimestre 2017;147.28;134.25;176.74;166.58;183.58;152.38;142.42;292.71;244.11
1º trimestre 2018;276.45;127.28;170.95;165.42;174.67;143.28;137.6;295.95;241.14
2º trimestre 2018;255.26;131.05;174.38;167.71;175.19;149.85;139.35;310.77;230.48
3º trimestre 2018;217.7;139.23;178.38;171.73;180.5;150.23;155.23;330.38;271.69
4º trimestre 2018;154.48;133.47;179.52;169.17;186.8;151.4;148.43;327.64;255.35
1º trimestre 2019;277.82;125.4;173.7;166.91;178.63;142.72;141.67;289.61;234.64
2º trimestre 2019;257.28;130.57;176.64;169.68;179.46;149.14;149.65;312.52;241.95
3º trimestre 2019;219.76;138.23;180.5;173.64;185.2;148.47;162.78;318.77;278.19
4º trimestre 2019;152.78;133.27;183.02;172.03;192.49;151.54;149.89;311.45;257.19
1º trimestre 2020;297.62;123.87;174.26;167.6;179.32;142.55;151.6;281.67;248.16
2º trimestre 2020;271.38;113.39;159.41;152.48;159.39;137.41;127.91;313.4;207.54
3º trimestre 2020;223.52;138.3;173.13;168.37;175.67;141.9;148.43;313.81;209.65
4º trimestre 2020;153.01;136.24;180.39;171.46;187.82;148.18;165.52;295.24;250.71
1º trimestre 2021;309.43;131.58;173.37;170.53;176.64;139.57;169.31;280.58;269.36
