Date,cds5y,fed,selic,cambio
2010-01-31,126.79684210526315,0.1168421052631579,8.649473684210527,1.7794263157894736
2010-02-28,139.26555555555558,0.12611111111111112,8.65,1.8408333333333333
2010-03-31,122.34260869565217,0.1617391304347826,8.65,1.7850434782608695
2010-04-30,119.499,0.1975,8.7225,1.75577
2010-05-31,136.95250000000001,0.20249999999999999,9.399000000000001,1.8122150000000001
2010-06-30,136.18047619047618,0.1757142857142857,9.937142857142858,1.8057285714285713
2010-07-31,125.97666666666667,0.1819047619047619,10.326666666666668,1.7685571428571427
2010-08-31,119.315,0.18954545454545454,10.66,1.7587636363636363
2010-09-30,119.393,0.1935,10.66,1.71755
2010-10-31,101.25894736842106,0.19105263157894736,10.66,1.6836842105263157
2010-11-30,106.19611111111111,0.1938888888888889,10.66,1.7118777777777778
2010-12-31,112.85130434782609,0.1834782608695652,10.661304347826087,1.692613043478261
2011-01-31,109.39949999999999,0.173,10.863,1.67377
2011-02-28,117.41368421052633,0.15789473684210525,11.169473684210526,1.6672578947368422
2011-03-31,115.08999999999999,0.1380952380952381,11.622380952380952,1.6583
2011-04-30,107.19000000000001,0.09526315789473684,11.73578947368421,1.5856473684210528
2011-05-31,103.45714285714286,0.09333333333333334,11.92,1.6135333333333333
2011-06-30,111.74333333333334,0.09142857142857143,12.098571428571429,1.5862428571428573
2011-07-31,113.18800000000002,0.068,12.2575,1.563435
2011-08-31,144.14434782608697,0.09782608695652174,12.417826086956522,1.596208695652174
2011-09-30,173.327,0.08349999999999999,11.905,1.7538550000000002
2011-10-31,164.24157894736842,0.07210526315789474,11.688947368421053,1.7731736842105263
2011-11-30,164.83277777777778,0.08166666666666667,11.4,1.7875722222222221
2011-12-31,155.79238095238094,0.07142857142857142,10.90047619047619,1.835252380952381
2012-01-31,154.22899999999998,0.08449999999999999,10.675,1.7853850000000002
2012-02-29,137.7021052631579,0.10526315789473684,10.4,1.7177578947368422
2012-03-31,124.32,0.12727272727272726,9.820454545454545,1.7947000000000002
2012-04-30,126.17,0.14650000000000002,9.35,1.854225
2012-05-31,142.41142857142856,0.15619047619047619,8.86952380952381,1.9857761904761906
2012-06-30,156.77450000000002,0.162,8.3905,2.0485700000000002
2012-07-31,144.51904761904763,0.15857142857142859,8.056666666666667,2.028561904761905
2012-08-31,128.77913043478262,0.13217391304347825,7.846521739130435,2.028865217391304
2012-09-30,112.10666666666667,0.14944444444444444,7.389999999999999,2.0272
2012-10-31,111.57476190476191,0.15904761904761905,7.223333333333334,2.0292142857142856
2012-11-30,104.54555555555555,0.1611111111111111,7.139999999999999,2.0670111111111114
2012-12-31,106.4125,0.163,7.157500000000001,2.07724
2013-01-31,108.7552380952381,0.1442857142857143,7.11,2.029952380952381
2013-02-28,125.29058823529412,0.14294117647058824,7.124705882352941,1.9730117647058825
2013-03-31,131.236,0.149,7.147499999999999,1.9822700000000002
2013-04-30,123.72045454545454,0.145,7.25909090909091,2.001631818181818
2013-05-31,122.29249999999999,0.1085,7.425,2.0333750000000004
2013-06-30,170.31,0.0955,7.9,2.1723749999999997
2013-07-31,182.6859090909091,0.09227272727272727,8.240909090909092,2.251227272727273
2013-08-31,194.0577272727273,0.08272727272727273,8.445454545454545,2.341595454545455
2013-09-30,172.6125,0.081,8.9,2.26521
2013-10-31,155.12681818181818,0.08545454545454546,9.240909090909092,2.188372727272727
2013-11-30,194.9477777777778,0.08444444444444445,9.427777777777779,2.292244444444444
2013-12-31,189.06666666666666,0.08619047619047619,9.89952380952381,2.344861904761905
2014-01-31,196.9138095238095,0.07142857142857144,10.161904761904761,2.3839238095238096
2014-02-28,183.58526315789473,0.06736842105263158,10.426315789473684,2.382915789473684
2014-03-31,171.05263157894737,0.08,10.65,2.325494736842105
2014-04-30,152.374,0.0895,10.875,2.2321750000000002
2014-05-31,144.292,0.087,10.9,2.22028
2014-06-30,136.987,0.0955,10.9,2.2348600000000003
2014-07-31,140.54,0.09136363636363636,10.9,2.2244636363636365
2014-08-31,143.4209523809524,0.08904761904761904,10.901428571428571,2.2674238095238093
2014-09-30,145.01619047619047,0.08857142857142856,10.9,2.336847619047619
2014-10-31,160.9059090909091,0.08863636363636364,10.922727272727274,2.4501863636363637
2014-11-30,167.895,0.095,11.15,2.549161111111111
2014-12-31,187.03227272727273,0.12136363636363635,11.581818181818182,2.6387363636363634
2015-01-31,206.096,0.1165,11.825,2.634115
2015-02-28,234.6877777777778,0.11333333333333334,12.15,2.815838888888889
2015-03-31,278.61318181818183,0.11363636363636363,12.581818181818182,3.1388636363636366
2015-04-30,236.599,0.12450000000000001,12.6775,3.042595
2015-05-31,228.1094736842105,0.12421052631578947,13.15,3.057942105263158
2015-06-30,245.13238095238094,0.1285714285714286,13.578571428571431,3.11112380952381
2015-07-31,266.98739130434785,0.13043478260869565,13.693478260869565,3.222508695652174
2015-08-31,318.6852380952381,0.1419047619047619,14.150000000000002,3.513695238095238
2015-09-30,412.83952380952377,0.13523809523809524,14.150000000000002,3.9058095238095243
2015-10-31,447.91523809523807,0.12428571428571428,14.150000000000002,3.879504761904762
2015-11-30,406.39444444444445,0.11888888888888889,14.15,3.7791111111111113
2015-12-31,468.1445454545455,0.2318181818181818,14.15,3.870495454545454
2016-01-31,477.6905263157895,0.3626315789473684,14.15,4.052552631578948
2016-02-29,460.92499999999995,0.3733333333333333,14.15,3.9722944444444446
2016-03-31,383.78999999999996,0.3609090909090909,14.15,3.7033090909090913
2016-04-30,346.45500000000004,0.3665,14.15,3.56524
2016-05-31,334.53049999999996,0.366,14.15,3.5356650000000003
