DATE,Renda alta,Renda baixa,Renda muito baixa,Renda média,Renda média-alta,Renda média-baixa
2007-06-01,3.628232174458046,3.969976358412919,4.294227967642161,3.4746497574352997,3.2608915891432,3.85514012702044
2007-07-01,3.686275458813215,4.172538093467404,4.663417451419827,3.592703273369513,3.2895182971753423,4.066027236494851
2007-08-01,4.06903816314792,4.737914473336868,5.365425653425504,4.062655510123303,3.706281826961555,4.624142521595287
2007-09-01,3.9508254323017633,4.786129892059154,5.564177747731169,4.017475678930316,3.6290481032174027,4.663700341069621
2007-10-01,3.9130140322983564,4.762390222915069,5.590463109104804,4.02231763396661,3.6726804164716187,4.652735592069868
2007-11-01,4.0598131761538925,4.737806642858455,5.542771660935997,4.084261325574179,3.775927983303773,4.665646735177575
2007-12-01,4.470618413606808,5.449082745946043,6.5050827748112106,4.597056052274451,4.15935906347209,5.302575490012318
2008-01-01,4.498578335750625,5.7212146184003165,6.989800167440818,4.693800499753431,4.18904331168346,5.529811015386055
2008-02-01,4.490143609570962,5.770503431198004,7.157246064657219,4.716975260531409,4.207689992599195,5.605109275159581
2008-03-01,4.613644926495097,5.946543808185423,7.355236447814617,4.881372848897825,4.3653794218161845,5.784272386616518
2008-04-01,4.822915039987152,6.380226245368648,7.871206283817811,5.20621974162383,4.575578470156749,6.196592294282666
2008-05-01,5.2445614869541135,7.146746735035436,8.9044382508771,5.710825744632286,4.962855447350845,6.889783838107411
2008-06-01,5.6487950538771425,7.7473423611929215,9.622024188925128,6.186495193657771,5.374746647390793,7.4443939872499865
2008-07-01,5.913699275198758,8.059726045082162,9.838991909044426,6.4553851503180715,5.658631406260728,7.707424603987589
2008-08-01,5.773279114745078,7.733477983858239,9.302008246305382,6.292779938497528,5.576939121532942,7.395150759573088
2008-09-01,5.966557448994636,7.625502186544075,8.94988471558742,6.374144784873059,5.761728745490391,7.325374904722692
2008-10-01,6.0912629066329105,7.638652934955958,8.889116576927481,6.4187923255568435,5.792360723850343,7.36637823725057
2008-11-01,6.032934125593181,7.451609321120234,8.536495780560616,6.359667523532764,5.748362808468199,7.211640969890554
2008-12-01,5.552626969888652,6.522585128137726,7.217671734256448,5.718507423049868,5.25113217168387,6.354501594285056
2009-01-01,5.379945684975795,6.212905534305713,6.714364964470465,5.489645281081734,5.061137492059875,6.081212763569388
2009-02-01,5.5919358279244324,6.1382007455402565,6.490199217048831,5.563940886516994,5.231852499730794,6.037893741627198
2009-03-01,5.248610375068763,5.873013176634645,6.176997246296501,5.293706094219663,4.95619174444073,5.775219191581948
2009-04-01,5.151411859780275,5.908957396785919,6.1727199895456275,5.1992745556930675,4.873417259440549,5.732619407078632
2009-05-01,4.8749396067119255,5.544655041834434,5.611291526821671,4.954111915371651,4.6434417476540535,5.383697312846714
2009-06-01,4.626723724342829,4.947103052063473,4.76481900769532,4.600255880648341,4.376783288151276,4.849139767304389
2009-07-01,4.382081275156313,4.6832888596347155,4.460322445075726,4.3805808023752,4.191662010532249,4.597808577695006
2009-08-01,4.282160115321765,4.529589070056872,4.33839273696659,4.199405523976085,4.039999777315284,4.424723677630471
2009-09-01,4.213039843193167,4.5723166287505945,4.424952202675736,4.18013455905315,3.9921813960745345,4.4395021673227175
2009-10-01,4.163739116973031,4.399282915629499,4.131684927937518,4.1305980214419336,4.03613140791006,4.274348965419494
2009-11-01,4.254525922706143,4.413641454794415,4.139991464009274,4.169052361004422,4.1254473988131535,4.288095141205561
2009-12-01,4.325030280785858,4.458828695358608,4.189038039080528,4.245275925459557,4.231541884542089,4.340540127786241
2010-01-01,4.737952203706075,4.70980305523101,4.420727594494567,4.573273885714579,4.6027086892058255,4.603345441017015
2010-02-01,4.921882709090664,5.027457011550784,4.80394285790311,4.8003389566934285,4.783504001073258,4.889985028058286
2010-03-01,5.235063669514517,5.438240168079589,5.440835989605763,5.056966003536223,4.963718681331186,5.280896274946989
2010-04-01,5.351311696801053,5.612423465384397,5.88158102927927,5.191131188484999,5.043707174657297,5.500648612859815
2010-05-01,5.308401429422083,5.481313716162384,5.779945449721735,5.119622880036645,5.028288822402582,5.3922445522787354
2010-06-01,4.879744651405793,4.984244807186622,5.218833520552746,4.659650332418286,4.64661575392713,4.898709407696766
2010-07-01,4.601723619714404,4.54584067342112,4.703967152387478,4.298065727169953,4.331305344132463,4.4860139778793995
2010-08-01,4.590682869758611,4.375851290750821,4.485025660174191,4.2297818136299625,4.265965208775069,4.357744980802658
2010-09-01,4.71971973910843,4.667794615147702,4.905462072262345,4.414702891984357,4.340580076658829,4.650213703057804
2010-10-01,5.066240737789429,5.45107978677144,6.011746282106811,4.86442494583208,4.615425793408234,5.361637907436223
2010-11-01,5.451318457052268,6.040879619717909,6.7046685552324625,5.2772739938651725,4.8611398557853125,5.911597760451137
2010-12-01,5.7748941065538295,6.390261215734805,7.112353475218591,5.556024959642336,5.080866876121926,6.237689371706057
2011-01-01,5.786249666495968,6.443864417551359,7.093613027333356,5.625400416749304,5.13196167733867,6.285500242478581
2011-02-01,5.9397876969855545,6.282248973433391,6.745630299308236,5.658933692103507,5.26886518406775,6.149899019354588
2011-03-01,6.268701418802691,6.288568675127282,6.513850346015659,5.8756052882918075,5.628259309358574,6.1965256249421286
2011-04-01,6.67650600749532,6.302064494858772,6.178429090127735,6.184111155125871,6.096572714885529,6.238597161188686
2011-05-01,6.704214881025616,6.304023303311879,6.169663914285595,6.167573354647504,6.069628506860059,6.244431345744572
2011-06-01,6.769247614905027,6.441525497906553,6.37909806739636,6.242958939353316,6.0928450856559735,6.384490731131631
