"RECEITA_TOTAL","RECEITA_RFB","Imposto_Import","IPI","IR","IOF","COFINS","PIS_PASEP","CSLL","CPMF","CIDE","Outras","Incentivos_Fiscais","RGPS","RECEITA_NAO_RFB","Concessoes","Dividendos","Seguridade_Servidor","Receitas_Exp_RN","Receitas_Proprias","Salario_Educacao","FGTS_Complemento","Demais_Receitas","TRANSFERENCIAS","FPM_FPE","Fundos_Constitucionais","Repasse_Total","Superavit_Fundos","Contr_Salario_Educ","Expl_Rec_Naturais","CIDE","Demais","RECEITA_LIQUIDA","DESPESA_TOTAL","Beneficios_Previd","Pessoal","Outras_Desp_Obrigat","Abono_Seg_Desemprego","Anistiados","Apoio_Est_Mun","Legisl_Espec_Indenizacoes","Loas_RMV","Complem_FGTS","Cred_Extraordinario","Compensacao_RGPS_Desoneracoes","Fabricacao_Moedas","FUNDEB","FUNDO_DF","LEJU_MPU","Lei_Kandir","Judiciais_Precatorios","Subsidios_Subvencoes_PROAGRO","Transferencias_ANA","Transferencias_ANEEL","Impacto_FIES","Financ_Eleicoes","Demais_obrigatorias","Desp_Exec_ProgFin","Obriga_Contro_Fluxo","DESPESAS_DISCRICIONARIAS","PRIMARIO","AJUSTE","AJUSTE_ITAIPU","AJUSTE_CAIXA","AJUSTE_NAO_SAC","AJUSTE_COMPENS","DISCREPANCIA","RESULTADO_PRIMARIO","JUROS_NOMINAIS","RESULTADO_NOMINAL"
62087.2022684033,39259.8256967724,1557.5903996624,5830.96527890252,15552.2387117576,1445.51185390345,8132.34467853857,3200.36017180645,2861.88302726517,0,0,678.931574936165,-221.19147088804,17978.3110067932,5070.25703572578,0,0.00514257793276446,726.990083041412,0,0,1107.28732203474,0,3235.97448807169,12635.5720162744,11210.1076110213,721.102583094691,0,0,590.55323841853,0,0,113.808583739934,49451.6302521288,54390.6620446569,17186.7177238224,18410.6242596468,3402.04638380845,2251.40250122778,0,0,0,0,0,0,0,0,0,0,0,50.9761826321475,0,872.747659929091,0,0,0,0,226.92004001943,15391.2736773792,0,0,-4939.0317925281,0,0,0,0,0,-683.452725317513,-5622.48451784561,-8203.67471482531,-13826.1592326709
58288.6097791724,37260.3033898632,1878.49014957319,6888.06886243244,11508.0885145112,1130.80873617682,7459.97045129577,2984.80340198408,2452.1334520716,2598.82058788803,0,359.119233930105,-273.165334792928,16732.7276288927,4568.7440952094,0,401.32300421117,533.492082116907,0,0,1123.22410138056,0,2510.70490750077,9710.57656139408,8542.83430067161,535.021036624514,0,0,599.052854069632,0,0,33.6683700283314,48578.0332177783,45321.0679158207,16731.2196778312,15759.8542783352,2011.16535989283,956.599136007359,0,0,0,0,0,0,0,0,0,0,0,62.9418773075175,0,549.749447023046,0,0,0,0,441.874899554908,10818.8285997614,0,0,3256.96530195769,0,0,0,0,0,-105.347583397293,3151.6177185604,-7554.63375803438,-4403.01603947398
65358.3240852757,43869.2039940351,1961.44085597456,6669.28136160736,15551.6713935211,1243.52395624375,7166.97225422244,2743.88154733083,5380.59517110749,2831.47342072722,0,320.364033300258,0,16609.3133338118,4879.80675742878,0,219.903362752537,525.566048082319,0,0,1100.38875990417,0,3033.94858668976,8853.94000040652,7754.90699926793,485.476846077657,0,0,586.874005282225,0,0,26.6821497787163,56504.3840848691,48378.2393895419,17187.4286600158,14555.4541411766,3384.89458357894,1901.78906784803,0,0,0,0,0,0,0,0,0,0,0,148.939711461997,0,878.929990869076,0,0,0,0,455.235813399842,13250.4620047706,0,0,8126.1446953272,0,0,0,0,0,-2935.10915380708,5191.03554152012,-8058.85763331659,-2867.82209179647
66370.2065968137,45123.9566015339,2108.48221516738,6738.48346012234,16670.0861684718,1448.9202516706,7609.59313392306,2925.69596673997,4021.46024263517,3313.99831360424,0,287.236849199372,-143.76391616153,16845.6608106378,4544.35310080362,0,31.8410601907709,669.03289615661,0,0,1069.38619053274,0,2774.0929539235,10728.7966532316,9545.61171841117,603.501090540425,0,0,570.339301617462,0,0,9.34454266251278,55641.4099435822,48085.8800492407,16679.5887005891,14788.2407112496,2265.40060372089,1312.50819290291,0,0,0,0,0,0,0,0,0,0,0,233.50730148126,0,370.346150402202,0,0,0,0,349.038958934517,14352.6500336811,0,0,7555.52989434152,0,0,0,0,0,-6930.90046550177,624.629428839746,-7975.8733473491,-7351.24391850935
61754.8486875306,39533.8702284852,1889.33795251594,6721.91521328388,12983.2355385696,1540.76214577865,7807.11384534419,3002.67651290996,2366.54915889046,2934.5514407283,0,287.728420464225,-222.171477765496,17147.8414197985,5295.30851701238,0,1146.83013059842,622.808319523826,0,0,1078.39176083882,0,2447.27830605132,10879.447896878,9684.94349304906,613.371015814982,0,0,575.142272447369,0,0,5.99111556657377,50875.4007906526,49933.9100392959,17324.4381217584,15458.5569875051,2967.53023975448,1984.87476665933,0,0,0,0,0,0,0,0,0,0,0,239.890887403282,0,487.889466399286,0,0,0,0,254.875119292577,14183.3846902779,0,0,941.490751356766,0,0,0,0,0,2578.69288523876,3520.18363659552,-7687.08375924666,-4166.90012265114
58063.5737554524,37840.7335309664,2078.46591518235,6899.35436352239,10668.4790866743,1676.69864668927,7934.09107665051,2992.69898284536,2449.9209224764,2825.9290614322,0,315.095475493594,-763.03831567931,17055.1106875555,3930.76785260981,0,22.0669099671445,453.460326271697,0,0,1077.1980524165,0,2378.04256395447,8288.95181234305,7627.13723005201,83.7161934473212,0,0,574.505627955466,0,0,3.59276088825559,49774.6219431093,49270.9759817133,17380.6854877585,15460.0041097142,2982.1173837968,1814.70980449531,0,0,0,0,0,0,0,0,0,0,0,152.940299422682,0,687.276882251,0,0,0,0,327.190397627807,13448.1690004438,0,0,503.645961396057,0,0,0,0,0,-2079.95834246925,-1576.31238107319,-7445.49791957377,-9021.81030064696
64913.3034895137,41584.0039359447,2210.50363784096,6404.57401348981,13599.6467246262,1966.05889868763,7652.53644499947,2950.57673580568,2803.3734324997,3707.41340428075,0,289.320643714485,-269.492110037551,17601.3136835998,5997.47798000674,663.44057634699,658.367416774672,610.870726138676,0,0,1011.83485203156,0,3052.96440871485,8969.90262521399,8097.55192671195,316.884862677834,0,0,539.645254416831,0,0,15.8205814073755,55943.4008642998,56472.2997655686,18275.5604035737,19654.2792747617,2876.17825821149,1431.78262174234,0,0,0,0,0,0,0,0,0,0,0,403.723680118982,0,690.758500820863,0,0,0,0,349.913455529303,15666.2818290217,0,0,-528.898901268826,0,0,0,0,0,-2445.31402223651,-2974.21292350534,-7480.51299185688,-10454.7259153622
65638.4390303765,37721.254590471,2183.61187267133,6931.14751690205,10582.4208930997,1698.944914255,7805.51366256066,3074.98004631304,2312.9900367242,2847.61089721669,0,284.034750728319,-713.525305441067,17523.7694405604,11106.9403047861,6769.12356936487,9.04768102719127,492.117337724109,0,0,1116.02008950294,0,2720.63162716699,9295.55264238856,8505.58155718888,178.498768680697,0,0,595.210714401568,0,0,16.2616021174152,56342.8863879879,48563.9376278969,18437.0914371351,14296.4781480441,2441.91654822233,1430.54342886848,0,0,0,0,0,0,0,0,0,0,0,290.422682412188,0,454.639796336223,0,0,0,0,266.310640605438,13388.4514944953,0,0,7778.948760091,0,0,0,0,0,2346.14847014153,10125.0972302325,-7882.92238328011,2242.17484695242
62555.4342009506,40026.1609903416,2234.91233515885,7331.15095320269,11727.1427467117,1709.89670100987,8180.02273968419,3185.85906448852,2559.7555942211,2829.21396520213,0,268.206890662555,0,17859.3158250142,4669.95738559473,0,232.805760050294,371.983179014039,0,0,1107.76723118864,0,2957.40121534176,9592.60593142922,8770.40611647633,220.008864103488,0,0,590.809189967272,0,0,11.3817608821289,52962.8282695214,56374.2075684616,18719.4520167964,14861.3226404682,6847.32343514973,3091.50949087752,0,0,0,0,0,0,0,0,0,0,0,3144.43274919475,0,280.94971889603,0,0,0,0,330.431476181439,15946.1094760473,0,0,-3411.37929894022,0,0,0,0,0,-1589.36979956045,-5000.74909850068,-6913.57236287721,-11914.3214613779
65955.6807633129,43729.191759123,2387.5353993539,6832.42297907957,14454.4712073716,1979.46536103547,8071.70845316649,3152.93069191205,2962.24733305348,3511.27294339081,0,377.137390759605,-293.199663370503,17920.1435254576,4599.54514210279,0,322.47376350688,462.778997219975,0,0,1091.17498234835,0,2723.11739902758,9745.07835883832,8941.53680145037,207.077409041604,0,0,581.959990585789,0,0,14.5041577605624,56210.6024044746,59969.9569928295,18744.3069864493,15015.213266495,9269.67455525062,1462.87265578169,0,0,0,0,0,0,0,0,0,0,0,1519.27168849722,0,5981.18054269903,0,0,0,0,306.34966827267,16940.7621846346,0,0,-3759.35458835487,0,0,0,0,0,-3810.08338766028,-7569.43797601515,-6970.52879697033,-14539.9667729855
63378.4050653595,41675.547891759,2395.93223662345,7349.39710048295,12550.4483089241,1346.11491805441,8170.82148632911,3405.53306030904,2959.72650487328,3190.96475853991,0,306.609517622851,-146.351447854822,17756.382113882,4092.82650757326,0.487838159516075,173.6452367306,323.975670138741,0,0,1081.19107959499,0,2513.52668294941,10776.0987963151,9868.13784070859,322.4193666659,0,0,576.635242450661,0,0,8.90634648996503,52602.3062690444,51254.2188612215,20528.6610135654,15263.1725953589,-45.1503697766761,2151.71079355454,0,0,0,0,0,0,0,0,0,0,0,280.721245610351,0,-2946.29243422302,0,0,0,0,468.71002528145,15507.5356220739,0,0,1348.08740782291,0,0,0,0,0,-1621.81339912737,-273.725991304459,-9091.79099508514,-9365.5169863896
89543.6744234467,53876.1392273102,2414.29876861407,7023.39740493639,21943.6420724236,1459.33790269316,8270.43146744417,3765.59200918889,4806.45762852306,3399.43929898967,0,793.542674497107,-631.475049844541,27134.7014793372,9164.30876664395,2.28302518020719,825.782302856894,627.171198611323,0,0,1719.34444553739,0,5989.72779445814,10177.4722415443,9032.35715716131,218.457054726254,0,0,916.983704286608,0,0,9.67432537015363,79366.2021819024,87146.0876370625,34547.3641552173,24362.0820029251,3930.92416545198,1499.71330268103,0,0,0,0,0,0,0,0,0,0,0,1469.13806471955,0,443.131459589545,0,0,0,0,518.94133846186,24305.7173134681,0,0,-7779.88545516013,0,0,0,0,0,-3287.44341842295,-11067.3288735831,-8132.5728669325,-19199.9017405156
74232.2676878591,52606.1041324367,2463.45684932674,5763.64096000713,24177.2974707794,1636.28787828532,7790.7870868689,3147.63175165146,3446.76109309165,3572.69026555166,0,607.550776874439,-615.034559101229,17851.4222108415,4389.77590368223,2.35375617454867,1.95123492907576,609.34881820992,0,0,1005.92189619715,0,2770.20019817154,13082.1330709013,12170.7271572243,188.271554338797,0,0,536.491677971811,0,0,186.642681366432,61150.1346169578,58493.8120346888,18801.3846977309,20224.2535538934,2614.46411612852,1328.15891634885,0,0,0,0,0,0,0,0,0,0,0,470.768632447689,0,792.023121940746,0,0,0,0,23.5134453912393,16853.709666936,0,0,2656.32258226898,0,0,0,0,0,-1482.32183293945,1174.00074932953,-16199.0516134123,-15025.0508640828
63371.5614015262,43326.7822701716,1978.5462864924,6863.73044623479,16611.0674236287,1654.0979963267,6901.4396611657,2722.47342315032,3371.74098028479,2857.5735936117,0,366.112459276492,-385.562757505392,17103.7215933618,3326.62029549823,0.0432105299423272,12.5967528934672,475.105974066115,0,0,1087.85224210645,0,1751.02211590226,8796.73480755127,8030.54272837544,179.751003390087,0,0,580.187862456772,0,0,6.25321332896552,54574.826593975,53235.1932796198,18582.2706999084,16524.9333315951,4171.41964551979,1985.07195330335,0,0,0,0,0,0,0,0,0,0,0,1561.47355320813,0,607.829985531056,0,0,0,0,17.0441534772513,13956.5696025966,0,0,1339.63331435515,0,0,0,0,0,-1012.53222863322,327.101085721926,-16074.0290683461,-15746.9279826242
85240.5187691925,50275.9726476504,2664.42702627721,6167.92826878953,22397.9959225248,1557.58754234889,6715.97635429006,2834.66836154329,4775.69994040269,2773.35790116552,0,388.331330308456,-202.574192800538,17186.8144414031,17980.3058729396,11737.8285286274,0.000411502753704797,706.467400214832,0,0,850.582468808134,0,4685.42706378645,12971.4139150616,12222.7162284312,245.714993119171,0,0,453.643983364338,0,0,49.3387101469344,72269.1048541309,61054.2669511995,18638.9406704069,22519.3517851983,2462.07007377116,1535.2589242499,0,0,0,0,0,0,0,0,0,0,0,540.186502719976,0,320.277005140003,0,0,0,0,66.3476416612874,17433.9044218231,0,0,11214.8379029314,0,0,0,0,0,4921.84826282037,16136.6861657518,-15814.2900706624,322.396095089367
74798.929816721,46289.5065749319,2592.83617812522,6609.26757441778,18132.7860573666,1818.3557655086,7389.16256422196,3026.98180825822,2773.83580740736,3501.29293670115,0,444.987882925026,-903.222723780751,16745.1565287009,12667.4894368689,7583.08639288526,339.039351914483,461.618028097501,0,0,833.354269066527,0,3450.39139490514,12164.3645065811,11544.8151555301,130.182225291325,0,0,444.455610168815,0,0,44.9115155908213,62634.5653101399,54100.9024453981,18879.5636141562,15861.3429359073,2898.36656620183,1563.54572974327,0,0,0,0,0,0,0,0,0,0,0,761.654308158086,0,453.667341297571,0,0,0,0,119.499187002898,16461.6293291327,0,0,8533.66286474183,0,0,0,0,0,-3287.69063917837,5245.97222556345,-19962.006477588,-14716.0342520246
64206.5163323134,39365.0906934758,2503.86975180318,6566.10962914205,13194.7144741543,1637.43883214583,7537.12546140665,2797.18958871011,1821.61706293258,2965.96177723156,0,341.064115949578,-75.3780916967165,17960.6138674378,6956.18986309639,0.213737500085207,2944.94740545568,407.926617144772,0,0,896.039694455593,0,2707.06240854026,11419.3774742244,10663.6028590548,270.795913163509,0,0,477.887837042983,0,0,7.09086496311298,52787.1388580889,53062.1289724248,18766.7129747036,15341.6213030132,3107.10830086743,1919.53253020353,0,0,0,0,0,0,0,0,0,0,0,812.428215483389,0,370.611570456488,0,0,0,0,4.53598472403051,15846.6863938405,0,0,-274.990114335897,0,0,0,0,0,-741.955419997435,-1016.94553433333,-16613.2934121785,-17630.2389465118
59240.0956995741,36954.2139131181,2599.68601414459,6675.8715378622,10584.893975602,1519.32392027481,7450.66320052137,2837.11794149405,2033.30333828992,2891.39197308794,0,361.962011841137,-20.082605336332,17563.5704003885,4742.39399140389,0.603095501942343,66.906488972705,472.994314393613,0,0,908.102023710019,0,3293.78806882561,8547.58851640206,7755.70691547357,307.270035064404,0,0,484.32107931201,0,0,0.290486552077063,50692.507183172,59439.7191829822,19300.6184119199,21144.5871426965,3055.58412049121,1861.8465969898,0,0,0,0,0,0,0,0,0,0,0,736.163282263838,0,450.778732077897,0,0,0,0,6.79550915968105,15938.9295078746,0,0,-8747.21199981021,0,0,0,0,0,-2683.89226904369,-11431.1042688539,-18848.1115829074,-30279.2158517613
65347.3389796507,44287.9597130045,2862.20624773003,6185.82433222472,16981.2813833742,1585.14607986185,7315.42103297024,2820.57748148476,2774.84807531741,3538.11250222468,0,224.542577816607,-39.961458199708,16721.2434028413,4378.09732200467,4.75448650902157e-08,0.0898455295181299,470.30687462376,0,0,856.889874860145,0,3050.8107269437,9519.20928461197,8083.6094991084,875.434072028058,0,0,457.007933258744,0,0,103.157780216772,55828.1296950388,55953.20966106,20145.8999574218,16268.1402349821,2374.97882251784,1234.07335998553,0,0,0,0,0,0,0,0,0,0,0,708.232309235175,0,371.145344782869,0,0,0,0,61.5278085142678,17164.1906461382,0,0,-125.079966021266,0,0,0,0,0,2172.24501509902,2047.16504907775,-16790.6589042947,-14743.4938552169
97315.9560292612,45359.6802975516,2544.4747570919,6001.07316273298,15976.0485031411,1045.65857450306,8498.29847934061,3492.9673057518,4515.56712336194,3057.6707107375,0,227.921680890712,-189.987747392101,18335.5666804749,33810.6967986268,25234.717779215,168.787000515236,479.120622791243,0,0,941.104514347569,0,6986.96688175774,11229.8184696085,10426.9587858887,296.06376180156,0,0,501.922407652037,0,0,4.87351426617936,86086.1375596527,58617.7703465808,20393.8771906493,16871.2754427539,4925.6729352875,2820.61186451635,0,0,0,0,0,0,0,0,0,0,0,877.597546436256,0,1177.19007875272,0,0,0,0,50.2734455821737,16426.9447778901,0,0,27468.3672130719,0,0,0,0,0,-6017.57879832444,21450.7884147474,-17732.4286988279,3718.35971591953
64349.9509243837,43313.0030907911,2970.59632950876,6137.01171432283,16319.0400717098,1198.13941852001,7450.87136484484,2916.57376865202,1983.63364873865,3917.141392821,0,419.995381673151,-431.629285690719,17512.9360822897,3955.64103699359,0.0431044980273016,6.01265121921697,492.966032481028,0,0,908.305789134831,0,2548.31345966049,10986.4416952577,10150.532600025,303.402982836837,0,0,484.429754205243,0,0,48.0763581906533,53363.509229126,56896.8994338187,20569.6388766204,16594.88328782,2933.43070906494,1622.55401552787,0,0,0,0,0,0,0,0,0,0,0,735.43527671392,0,548.558578220127,0,0,0,0,26.8828386030271,16798.9465603133,0,0,-3533.39020469274,0,0,0,0,0,-2320.29668472253,-5853.68688941527,-24693.6569359938,-30547.3438254091
62786.7788951935,41207.7072617328,2782.30158119493,6046.41581680394,14536.7521159807,1108.60294447193,7461.42654653141,3042.56975287391,2883.39711055726,3026.54558349723,0,319.695809821565,-206.793318585713,17527.8239016596,4258.04105038675,0.0861918152767756,3.51459097876508,484.364520740603,0,0,922.660364439001,0,2847.4153824131,9565.85085385931,8695.52310154203,318.033433068756,0,0,492.085527700801,0,0,60.2087915477238,53220.9280413342,60247.8305415976,20643.8985086565,16844.5721892204,5817.56170180526,2035.27502080906,0,0,0,0,0,0,0,0,0,0,0,782.327068889142,0,2952.70255516447,0,0,0,0,47.2570569425832,16941.7981419153,0,0,-7026.90250026341,0,0,0,0,0,6858.37689625298,-168.525604010433,-26818.8706294196,-26987.3962334301
69738.4635190707,39655.0789504124,2646.77736624082,6372.5534927826,13976.0161416913,960.33326361985,7394.74828213858,2963.8542593903,1887.32810284578,2899.57079500129,0,553.89724670181,-335.872050103206,16285.5371805766,14133.719438185,4.79419108674964e-09,3226.96564032694,457.890449188285,0,0,968.024496494033,0,9480.83885217095,10012.8242851208,9324.85479226479,133.604760231182,0,0,516.279731463484,47.1406667524838,0,-9.05566559117756,59725.63923395,65280.3602484189,22741.5557179832,23032.1689213236,3041.55435215532,1620.0071019444,0,0,0,0,0,0,0,0,0,0,0,708.515612728774,0,654.791698222484,0,0,0,0,58.239939259667,16465.0812569567,0,0,-5554.72101446895,0,0,0,0,0,-1960.13589627403,-7514.85691074298,-26101.0620111463,-33615.9189218893
96748.1625793944,51702.1451011507,2607.46963720361,6247.81532655611,22360.1528656641,1169.49157027795,7473.55158354223,3166.8343478347,4462.38515456799,3808.3953939222,0,406.04922158182,-281.926697298039,30451.754668213,14876.1895073287,166.472142879485,4548.85524397015,534.787512924459,0,0,1581.86967082155,0,8044.20493673306,11545.6878406803,9330.90204516691,934.405421636264,0,0,843.66382443816,279.155197117597,0,157.561352321358,85202.4747387141,74891.1479728485,37687.2257630459,12324.1017450717,5274.9198282144,1785.29982380082,0,0,0,0,0,0,0,0,0,0,0,2085.41709509195,0,1230.84666099493,0,0,0,0,173.356248326704,19604.9006365164,0,0,10311.3267658656,0,0,0,0,0,-6557.97374630136,3753.35301956425,-24074.8675027431,-20321.5144831789
71153.7214204,45963.0609589693,2181.34926716256,5776.29716646922,19709.3966397187,1076.11768398938,7630.35723640593,3152.33138430645,3131.64401921977,3025.70429861979,0,279.863263077492,-344.752563773061,16896.4008187581,8639.01220644565,339.687577199744,2076.16634328314,632.294708073184,0,1594.2845123174,957.364285626456,0,3039.21477994572,13585.7224527593,11871.9576140111,373.773238090248,741.00378480404,-367.230546713792,1080.45215277749,133.103759585009,0,126.435688295503,57567.9989676406,53962.4558857922,20502.9205859703,17292.3362011924,4273.94920735332,1611.75726485791,0,0,0,525.494095579034,0,0,0,56.1101132870248,0,0,0,1669.19732414027,0,411.390409489084,0,0,0,0,0,11893.2498912762,0,0,3605.54308184849,0,0,0,0,0,6619.49538138726,10225.0384632357,-12018.2946450242,-1793.25618178846
75531.0494868105,54387.5147629124,2465.22077360769,6054.35369527792,22323.0759217178,2492.75488285977,6404.6885241648,8799.46748136774,5263.18149471845,293.759199516771,0,291.012789681446,-398.398595256869,16850.9900467999,4690.94327235506,375.549433440696,70.3502138423,616.523768141842,0,1488.83067121368,925.750214352053,0,1213.93897136449,12567.5354073314,12064.8938102748,328.504200528805,660.724675521223,-332.220474992418,0,133.738727091348,0,40.3986694365257,62963.514079479,55587.4472260399,20040.6544971712,19777.8231598929,5667.56521103431,1777.52267168072,0,0,0,528.745726321041,0,0,0,93.8861602752472,0,0,0,2693.10601497283,0,574.304637784469,0,0,0,0,0,10101.4043579415,0,0,7376.06685343915,0,0,0,0,0,965.274598007442,8341.34145144659,-19693.5882695457,-11352.2468180991
91725.0313670626,54205.0683107387,3177.97969915866,5922.96940007125,24499.4314431583,2947.62272351405,10728.445081677,2931.38025909707,3722.59099876888,2.23825264457554,0,272.410452648835,-101.349438256174,17261.4483718441,20359.864122736,14811.6753208228,569.501603318518,620.294597148154,0,1548.32579116072,856.086901409737,0,1953.97990887609,13658.7250353882,12113.6499413059,138.254688925364,835.717184275829,-697.462495350465,968.295877352265,187.538357061757,0,250.986170742926,78066.3063316744,57131.8347473911,20088.0534145058,15744.0479458478,6475.4565943015,2712.88571962804,0,0,0,534.286838837776,0,0,0,122.366594545126,619.797333932607,0,0,1920.88012227639,0,565.239985081565,0,0,0,0,0,14824.276792736,0,0,20934.4715842834,0,0,0,0,0,-5219.40976426537,15715.061820018,-41401.0132878712,-25685.9514678532
74939.762729688,50083.9758387858,2753.75788775778,5765.28385799326,20687.1114291423,2602.8002125686,12184.5789660686,3251.09203304238,2575.73670702365,1.19289463867953,0,262.421850550602,-699.121560703987,17749.3220147639,7805.58643684225,1470.9230101022,100.639343119658,488.859107906227,0,2032.85702300338,769.403911340536,0,2942.90404137024,11678.455498251,10996.6380396739,181.473996820837,679.718201056693,-498.244204235856,209.57018665606,182.246846781692,0,108.526428318584,63261.3072314369,51668.6124620327,20091.329102074,17171.5605281387,3735.29180216647,1161.06095873521,0,0,0,87.3027477567205,0,0,0,53.6441848809784,205.448713554738,0,0,1654.70470661231,0,573.130490626512,0,0,0,0,0,10670.4310296535,0,0,11592.6947694043,0,0,0,0,0,-5821.57007317277,5771.12469623148,-17224.7829712638,-11453.6582750323
66834.7915874661,42656.1702082885,2709.2030598899,5632.94514480193,15908.227651459,2819.97503452213,10767.5523395064,2821.38667834315,1756.62434135814,0.193354480549607,0,240.062603927373,-343.595982155603,17331.3256846546,7190.89167667857,285.888848677518,446.506055020343,483.392834933505,0,1826.20533685778,861.536570945726,0,3287.36203024369,13091.5931108941,11794.1397776588,309.870602158977,731.836235635066,-421.965633476088,632.593857244825,235.831820833644,0,119.157052997859,53743.1984765719,56740.092013047,20142.9668238194,16689.4606943889,5852.78028061412,2224.72549964311,0,0,0,981.35904965596,0,0,0,113.996672936181,177.36878477873,0,0,1719.90023893647,0,635.430034663658,0,0,0,0,0,14054.8842142245,0,0,-2996.89353647504,0,0,0,0,0,3262.2396000011,265.346063526053,-23122.1325588865,-22856.7864953605
81185.2518836046,45359.9271641962,3161.26514258356,5711.25474021943,14032.8659864601,2938.53961762212,12669.3520182023,3228.43004524589,2134.25513705043,1118.6017017709,0,365.362775041487,-143.057890009565,17718.570574836,18249.812034582,11337.3128317125,373.836672827422,531.987099678484,0,1718.99369542024,846.064027563914,0,3441.6177073794,8889.30701241193,8011.49420418652,257.861565478392,487.956603837177,-230.095038358785,216.043889092648,253.397846031529,0,150.509507622839,72295.9448711927,54770.4717212999,20418.5387288531,18220.6990941999,3841.34679016762,1595.81894462218,0,0,0,553.79106064136,0,0,0,90.5337289957291,0,0,0,1393.28842773838,0,207.914628169963,0,0,0,0,0,12289.8871080792,0,0,17525.4731498927,0,0,0,0,0,467.765801589832,17993.2389514826,-18615.4056393021,-622.16668781952
81508.0303487855,55695.093647555,2950.13471839414,5669.11210154499,15070.249562405,1479.74466454047,17584.5074392025,3675.76005337019,3795.444620889,5197.26673504788,0,272.873752160734,-228.810435747519,17815.7718797182,8225.97525725982,87.1435173865174,603.522232557858,738.912509662661,0,2181.75554672339,836.192424090672,0,3778.44902683872,9287.73512533963,7875.06110881779,318.730981427275,480.09819651142,-161.367215084145,665.775030597663,264.909305572939,0,163.258698923959,72220.2952234459,62411.2210693558,21057.1496092544,22055.6715970316,6032.68924446394,1721.5924465614,0,0,0,560.734649245219,0,0,0,72.8720929698665,475.775933571946,0,0,2479.32609874255,0,722.388023372957,0,0,0,0,0,13265.7106186058,0,0,9809.07415409014,0,0,0,0,0,7151.89781221263,16960.9719663028,-26981.1985444413,-10020.2265781386
79797.5039740055,42996.8939350917,3368.74633349876,5919.88541902763,11806.4249142779,1229.088518976,12283.3837693202,3120.90295572231,1331.69970044401,3632.96403800297,0,303.798285822005,-188.967928860193,17785.8064966303,19203.7714711437,11398.4509500802,768.53141820806,529.430320474078,0,2831.96701355656,737.491745838638,0,2937.9000229861,10660.7888594902,9710.31911386392,290.523846273277,595.497727565902,-304.973881292625,220.695442003829,275.476443728592,0,163.774013620583,69136.7151145153,57184.4621713688,20895.9482820121,16770.9615443131,5339.536878057,2172.4025976919,0,0,0,566.424324489407,0,0,0,97.5967804510116,504.506344064761,0,0,1413.67616102657,0,584.93067033334,0,0,0,0,0,14178.0154669866,0,0,11952.2529431465,0,0,0,0,0,1601.32288327059,13553.5758264171,-20473.8994250673,-6920.32359865027
