"receita","despesa"
45296.1765609244,63067.4567725567
44873.2439510844,66213.7278849913
45960.9383775023,67905.8078041503
46849.4273387472,73219.424416029
45689.0729321058,96697.7677220619
44343.7788829466,90046.0463264325
46415.3202537121,66750.2847386351
47740.8552189817,78234.9897879046
47892.846717824,67558.3234964744
49748.115666567,67090.6937729164
45956.3343469354,66802.3003220906
74816.8993367647,67660.9325888716
49488.854205587,67139.7990010403
46815.0177308431,69144.7584450887
47901.813145534,69363.0300017004
47973.2829994709,69720.4140034606
49938.5686029915,86163.9207791183
48056.3383467607,102146.908988375
49558.8983672079,94579.1019159685
49501.1941483483,70058.4172518285
50396.9917041978,72326.0967293447
50227.1431856199,69520.9306929968
50280.7182189779,70549.1299230435
79243.4163392429,98936.6543026325
53010.8772662566,70102.1300174652
48694.3873484843,72884.4239593032
51657.2994613225,73501.6725516283
51007.2285306526,81593.7917715712
49369.9906373351,110757.6715858
49922.5098727843,94992.1753627347
50919.64078578,73375.91441455
