selic,meta,hiato,ipca_12m,neutro_trend,selic_lag1,selic_lag2,selic_lag3,selic_lag4,desvio_ipca,hiato_lag1
4.5,4.25,-1.74,4.306039984113164,3.530421086401656,5.5,6.5,6.5,6.5,0.05603998411316358,-1.83
3.75,4.0,-3.14,3.302958571938297,3.5077792443298694,4.5,5.5,6.5,6.5,-0.697041428061703,-1.74
2.25,4.0,-5.92,2.132155992803253,3.4993743963512713,3.75,4.5,5.5,6.5,-1.867844007196747,-3.14
2.0,4.0,-4.29,3.1351615471362226,3.5062995327771507,2.25,3.75,4.5,5.5,-0.8648384528637774,-5.92
2.0,4.0,-3.1,4.517341500509886,3.528970196756826,2.0,2.25,3.75,4.5,0.517341500509886,-4.29
2.75,3.75,-2.22,6.0993271283718675,3.5672719913270834,2.0,2.0,2.25,3.75,2.3493271283718675,-3.1
4.25,3.75,-1.45,8.346896570795504,3.6205633683715357,2.75,2.0,2.0,2.25,4.596896570795504,-2.22
6.25,3.75,-0.93,10.246375616866699,3.6876827060842157,4.25,2.75,2.0,2.0,6.496375616866699,-1.45
9.25,3.75,-0.55,10.06105489325786,3.7671249598572984,6.25,4.25,2.75,2.0,6.311054893257859,-0.93
11.75,3.5,-0.27,11.299315974556002,3.8572005530448816,9.25,6.25,4.25,2.75,7.799315974556002,-0.55
13.25,3.5,-0.17,11.886729617590742,3.956176337778176,11.75,9.25,6.25,4.25,8.386729617590742,-0.27
13.75,3.5,-0.14,7.168596332032062,4.062335600308757,13.25,11.75,9.25,6.25,3.6685963320320623,-0.17
13.75,3.5,-0.15,5.784841959607778,4.173981215012736,13.75,13.25,11.75,9.25,2.2848419596077783,-0.14
13.75,3.25,-0.18,4.650694427347912,4.289607676024556,13.75,13.75,13.25,11.75,1.4006944273479123,-0.15
13.75,3.25,-0.15,3.1615014684576392,4.4080297394315355,13.75,13.75,13.75,13.25,-0.08849853154236076,-0.18
12.75,3.25,-0.11,5.185234629775604,4.528288467294959,13.75,13.75,13.75,13.75,1.9352346297756036,-0.15
11.75,3.25,-0.09,4.621113930566789,4.6496909380697495,12.75,13.75,13.75,13.75,1.3711139305667892,-0.11
10.75,3.0,0.06,3.925596126881703,4.771838185171135,11.75,12.75,13.75,13.75,0.925596126881703,-0.09
10.5,3.0,0.01,4.227578239682561,4.894444508849547,10.75,11.75,12.75,13.75,1.2275782396825612,0.06
