"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"44";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";27;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"45";202404;2;29;291840;"A";133410;1;621005;101;"Médio Completo";23;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"46";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";36;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"47";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";43;"48";1;"Feminino";2;3;97;0;0;0;"1450";1;0
"48";202404;2;26;260160;"A";133410;1;621005;101;"Médio Completo";24;"44";5;"Masculino";0;1;97;0;0;0;"1450";9;0
"49";202404;2;26;260875;"A";132600;1;622515;103;"Médio Completo";18;"20";3;"Feminino";0;1;97;0;0;0;"706";8;1
"50";202404;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";31;"48";1;"Feminino";2;3;97;0;0;0;"1450";1;0
"51";202404;2;26;261110;"A";132600;1;622020;101;"Médio Completo";41;"44";3;"Masculino";2;3;97;0;0;0;"1450";3;0
"52";202404;2;26;260875;"A";132600;1;622505;101;"Médio Completo";26;"44";1;"Masculino";0;1;97;0;0;0;"1450";2;0
"53";202404;2;26;261110;"A";132600;1;621005;101;"Até 5ª Incompleto";19;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"54";202404;2;29;290720;"A";133410;1;622505;101;"Médio Incompleto";19;"48";1;"Masculino";0;1;97;0;0;0;"1450";7;0
"55";202404;2;26;261110;"A";132600;1;621005;101;"Médio Completo";25;"44";3;"Masculino";0;1;97;0;0;0;"1450";4;0
"56";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";23;"48";1;"Feminino";2;3;97;0;0;0;"1450";1;0
"57";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";20;"44";3;"Feminino";0;1;97;0;0;0;"1450";6;0
"58";202404;2;29;290720;"A";133410;1;622505;101;"Médio Incompleto";25;"44";1;"Feminino";0;1;97;0;0;0;"1450";8;0
"59";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";26;"48";1;"Feminino";0;1;97;0;0;0;"1450";9;0
"60";202404;2;29;290720;"A";133410;1;782510;101;"5ª Completo Fundamental";32;"44";3;"Masculino";0;1;97;0;0;0;"2644";8;0
"61";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";42;"48";1;"Feminino";0;1;97;0;0;0;"1450";8;0
"62";202404;2;26;261110;"A";133410;1;621005;101;"Fundamental Completo";29;"44";1;"Feminino";0;1;97;0;0;0;"1450";9;0
"63";202404;2;29;290720;"A";133410;1;641015;101;"Médio Completo";50;"44";3;"Masculino";0;1;97;0;0;0;"1760";7;0
"64";202404;2;29;290720;"A";133410;1;622515;101;"Até 5ª Incompleto";40;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"65";202404;2;26;261110;"A";132600;1;622020;101;"Médio Incompleto";19;"44";3;"Masculino";0;1;97;0;0;0;"1450";10;0
"66";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";55;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"67";202404;2;29;290720;"A";132600;1;782510;101;"Fundamental Completo";53;"48";1;"Masculino";2;3;97;0;0;0;"2000";6;0
"68";202404;2;26;261110;"A";132600;1;643025;101;"Fundamental Completo";42;"44";3;"Masculino";0;1;97;0;0;0;"1504.36";6;0
"69";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";35;"44";3;"Feminino";0;1;97;0;0;0;"1450";5;0
"70";202404;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";51;"48";1;"Masculino";2;3;97;0;0;0;"1450";1;0
"71";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";22;"44";3;"Feminino";2;3;97;0;0;0;"1450";6;0
"72";202404;2;26;261110;"A";133410;1;999999;103;"Médio Completo";20;"20";3;"Feminino";0;1;97;0;0;0;"706";9;1
"73";202404;2;26;261110;"A";133410;1;622515;102;"Fundamental Completo";37;"44";3;"Masculino";2;3;97;0;0;0;"1450";6;0
"74";202404;2;26;261110;"A";133410;1;622505;101;"Médio Completo";36;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
